id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16937,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:02:37","27 - Jesús Víctor Gil",si,EV20005,"ESMALTE TECNOBRIL BLANCO 500 ML.",17501476220058,9,90,10, 10B61,,no,,,no
16938,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:03:33","27 - Jesús Víctor Gil",si,EV20005,"ESMALTE TECNOBRIL BLANCO 500 ML.",17501476220058,9,1071,119, 9B61,,no,,,no
16939,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:04:05","27 - Jesús Víctor Gil",si,EV20190,"ESMALTE TECNOBRIL NEGRO 19 L.",7501476220198,1,27,27, 10A62,,no,,,no
16940,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:04:43","27 - Jesús Víctor Gil",si,EV20040,"ESMALTE TECNOBRIL BLANCO 4 L.",17501476220041,2,170,85, 9C60,,no,,,no
16941,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:05:18","27 - Jesús Víctor Gil",si,EV20040,"ESMALTE TECNOBRIL BLANCO 4 L.",17501476220041,2,170,85, 9B60,,no,,,no
16942,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:05:30","27 - Jesús Víctor Gil",si,EV20040,"ESMALTE TECNOBRIL BLANCO 4 L.",17501476220041,2,170,85, 10B60,,no,,,no
16943,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:05:53","27 - Jesús Víctor Gil",si,EV20040,"ESMALTE TECNOBRIL BLANCO 4 L.",17501476220041,2,176,88, 9A60,,no,,,no
16944,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:06:06","27 - Jesús Víctor Gil",si,EV20040,"ESMALTE TECNOBRIL BLANCO 4 L.",17501476220041,2,66,33, 10A59,,no,,,no
16945,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:06:37","27 - Jesús Víctor Gil",si,EV20090,"ESMALTE TECNOBRILL BLANCO 19 L.",7501476220099,1,36,36, 9D58,,no,,,no
16946,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:07:06","27 - Jesús Víctor Gil",si,EV20090,"ESMALTE TECNOBRILL BLANCO 19 L.",7501476220099,1,36,36, 9C58,,no,,,no
16947,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:07:29","27 - Jesús Víctor Gil",si,EV20090,"ESMALTE TECNOBRILL BLANCO 19 L.",7501476220099,1,36,36, 10B58,,no,,,no
16948,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:07:56","27 - Jesús Víctor Gil",si,EV20090,"ESMALTE TECNOBRILL BLANCO 19 L.",7501476220099,1,36,36, 9B58,,no,,,no
16949,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:08:23","27 - Jesús Víctor Gil",si,EV20090,"ESMALTE TECNOBRILL BLANCO 19 L.",7501476220099,1,36,36, 9A58,,no,,,no
16950,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:08:46","27 - Jesús Víctor Gil",si,EV20090,"ESMALTE TECNOBRILL BLANCO 19 L.",7501476220099,1,11,11, 10A58,,no,,,no
16951,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:51:44","27 - Jesús Víctor Gil",si,EV21940,"ESMALTE TECNOBRIL CASTANO 4 L.",17501476221949,2,96,48, 7F2,,no,,,no
16952,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:52:07","27 - Jesús Víctor Gil",si,EV21890,"ESMALTE TECNOBRIL CREMA 19 L.",7501476221898,1,36,36, 7D2,,no,,,no
16953,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:52:36","27 - Jesús Víctor Gil",si,EV21805,"ESMALTE TECNOBRIL CREMA 500 ML.",17501476221857,9,81,9, 7C1,,no,,,no
16954,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:53:07","27 - Jesús Víctor Gil",si,EV21905,"ESMALTE TECNOBRIL CASTANO 500 ML.",17501476221956,9,225,25, 7C2,,no,,,no
16955,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:53:29","27 - Jesús Víctor Gil",si,EV21840,"ESMALTE TECNOBRIL CREMA 4 L.",17501476221840,2,12,6, 7B1,,no,,,no
16956,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:53:55","27 - Jesús Víctor Gil",si,EV21940,"ESMALTE TECNOBRIL CASTANO 4 L.",17501476221949,2,16,8, 7B2,,no,,,no
16957,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:54:15","27 - Jesús Víctor Gil",si,EV21802,"ESMALTE TECNOBRIL CREMA 250 ML.",17501476221826,9,171,19, 8B1,,no,,,no
16958,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:54:35","27 - Jesús Víctor Gil",si,EV21902,"ESMALTE TECNOBRIL CASTANO 250 ML.",17501476221925,9,594,66, 8B2,,no,,,no
16959,"Inv. Esmalte Tecnobrill 19.03.23","2023-03-19 09:55:06","27 - Jesús Víctor Gil",si,EV21890,"ESMALTE TECNOBRIL CREMA 19 L.",7501476221898,1,19,19, 7A1,,no,,,no
