id,code,description,base_price,base_discount,preferential_price,preferential_discount,price_list_id,,article_id,price,discount
2056,MM95510,"BARNIZ ENTINTADO CAOBA INGLES 1 L.",92.35,0,90.3,0,3,,2056,90.3,0
22762,MM95540,"BARNIZ ENTINTADO CAOBA INGLES 4 L.",343.19,0,335.57,0,3,,22762,335.57,0
22763,MM95602,"BARNIZ ENTINTADO NOGAL CLASICO 250 ML.",29.95,0,29.29,0,3,,22763,29.29,0
22764,MM95605,"BARNIZ ENTINTADO NOGAL CLASICO 500 ML.",48.67,0,47.59,0,3,,22764,47.59,0
2057,MM95610,"BARNIZ ENTINTADO NOGAL CLASICO 1 L.",92.35,0,90.3,0,3,,2057,90.3,0
22765,MM95640,"BARNIZ ENTINTADO NOGAL CLASICO 4 L.",343.19,0,335.57,0,3,,22765,335.57,0
22767,MM95702,"BARNIZ ENTINTADO NOGAL AMERICANO 250 ML.",29.95,0,29.29,0,3,,22767,29.29,0
22768,MM95705,"BARNIZ ENTINTADO NOGAL AMERICANO 500 ML.",48.67,0,47.59,0,3,,22768,47.59,0
21003,MM95710,"BARNIZ ENTINTADO NOGAL AMERICANO 1 L.",92.35,0,90.3,0,3,,21003,90.3,0
22769,MM95740,"BARNIZ ENTINTADO NOGAL AMERICANO 4 L.",343.19,0,335.57,0,3,,22769,335.57,0
22771,MM95802,"BARNIZ ENTINTADO MAGNOLIA 250 ML.",29.95,0,29.29,0,3,,22771,29.29,0
22772,MM95805,"BARNIZ ENTINTADO MAGNOLIA 500 ML.",48.67,0,47.59,0,3,,22772,47.59,0
2059,MM95810,"BARNIZ ENTINTADO MAGNOLIA 1 L.",92.35,0,90.3,0,3,,2059,90.3,0
22773,MM95840,"BARNIZ ENTINTADO MAGNOLIA 4 L.",343.19,0,335.57,0,3,,22773,335.57,0
22775,MM95902,"BARNIZ ENTINTADO EARLY AMERICAN 250 ML.",29.95,0,29.29,0,3,,22775,29.29,0
22776,MM95905,"BARNIZ ENTINTADO EARLY AMERICAN 500 ML.",48.67,0,47.59,0,3,,22776,47.59,0
2060,MM95910,"BARNIZ ENTINTADO EARLY AMERICAN 1 L.",92.35,0,90.3,0,3,,2060,90.3,0
22777,MM95940,"BARNIZ ENTINTADO EARLY AMERICAN 4 L.",343.19,0,335.57,0,3,,22777,335.57,0
22778,MM96040,"BARNIZ SECADO RAPIDO 4 L.",287.03,0,280.66,0,3,,22778,280.66,0
22779,MM96090,"BARNIZ SECADO RAPIDO 19 L.",1310.38,0,1281.26,0,3,,22779,1281.26,0
28436,MM96190,"BARNIZ SECADO RAPIDO",1310.37,0,298.39,0,3,,28436,298.39,0
2062,MM96210,"POLYBRILLO BRILLANTE 1 A 1 1 L.",106.7,0,126.85,0,3,,2062,126.85,0
2063,MM9621001,"POLYBRILLO BRILLANTE 1 A 1 1 L.",106.7,0,126.85,0,3,,2063,126.85,0
