id,inventario,creado,equipo,registrado,código,descripción,upc,"capacidad por caja",cantidad,cajas,posición,"solicitud de cambio","cambios aplicados",eliminado,"justificación de eliminación",revisado
16215,"Aerosoles AW-PW-MA-IA","2023-02-26 09:34:00","35 - ISAU ROSALES MARTINEZ",si,AI76405,"AEROSOL IUSA NARANJA 400 ML.",10791279212429,6,552,92, 1B21,,no,,,no
16216,"Aerosoles AW-PW-MA-IA","2023-02-26 09:35:15","35 - ISAU ROSALES MARTINEZ",si,AI79605,"AEROSOL IUSA BLANCO MATE 400 ML.",10791279212269,6,666,111, 2C21,,no,,,no
16217,"Aerosoles AW-PW-MA-IA","2023-02-26 09:37:21","35 - ISAU ROSALES MARTINEZ",si,AG75005,"AEROSOL GIMBEL BLANCO BRILLANTE 400 ML.",17501476212909,4,1072,268, 2C22,,no,,,no
16218,"Aerosoles AW-PW-MA-IA","2023-02-26 09:39:02","35 - ISAU ROSALES MARTINEZ",si,AG76405,"AEROSOL GIMBEL NARANJA 400 ML.",17501476213135,4,344,86, 1C22,,no,,,no
16219,"Aerosoles AW-PW-MA-IA","2023-02-26 09:40:24","35 - ISAU ROSALES MARTINEZ",si,AI71805,"AEROSOL IUSA BARNIZ NOGAL",10791279213297,6,402,67, 1C21,,no,,,no
16220,"Aerosoles AW-PW-MA-IA","2023-02-26 09:41:31","35 - ISAU ROSALES MARTINEZ",si,AI75005,"AEROSOL IUSA BLANCO BRILLANTE 400 ML.",10791279212221,6,726,121, 2D21,,no,,,no
16221,"Aerosoles AW-PW-MA-IA","2023-02-26 09:42:35","35 - ISAU ROSALES MARTINEZ",si,AI76005,"AEROSOL IUSA GRIS ACERO 400 ML.",10791279212405,6,708,118, 1D21,,no,,,no
16222,"Aerosoles AW-PW-MA-IA","2023-02-26 09:43:23","35 - ISAU ROSALES MARTINEZ",si,AI71905,"AEROSOL IUSA BARNIZ CAOBA",17501476280762,6,510,85, 2E21,,no,,,no
16223,"Aerosoles AW-PW-MA-IA","2023-02-26 09:45:05","35 - ISAU ROSALES MARTINEZ",si,AI75305,"AEROSOL IUSA ROSA MEXICANO 400 ML.",10791279212283,6,6,1, 1E21,,no,,,no
16224,"Aerosoles AW-PW-MA-IA","2023-02-26 09:45:34","35 - ISAU ROSALES MARTINEZ",si,AI79805,"AEROSOL IUSA TRANSPARENTE 400 ML.",10791279212276,6,6,1, 1E21,,no,,,no
16225,"Aerosoles AW-PW-MA-IA","2023-02-26 09:46:00","35 - ISAU ROSALES MARTINEZ",si,AI78405,"AEROSOL IUSA ALUMINIO 400 ML.",10791279212252,6,12,2, 1E21,,no,,,no
16226,"Aerosoles AW-PW-MA-IA","2023-02-26 09:46:28","35 - ISAU ROSALES MARTINEZ",si,AI75105,"AEROSOL IUSA NEGRO SATIN 400 ML.",10791279212436,6,6,1, 1E21,,no,,,no
16227,"Aerosoles AW-PW-MA-IA","2023-02-26 09:47:09","35 - ISAU ROSALES MARTINEZ",si,AI73805,"AEROSOL IUSA ROJO 400 ML.",10791279212443,6,12,2, 1E21,,no,,,no
16228,"Aerosoles AW-PW-MA-IA","2023-02-26 09:47:43","35 - ISAU ROSALES MARTINEZ",si,AI73805,"AEROSOL IUSA ROJO 400 ML.",10791279212443,6,24,4, 1E21,,no,,,no
16229,"Aerosoles AW-PW-MA-IA","2023-02-26 09:48:04","35 - ISAU ROSALES MARTINEZ",si,AG79605,"AEROSOL GIMBEL BLANCO MATE 400 ML.",17501476213074,4,4,1, 1E21,,no,,,no
16230,"Aerosoles AW-PW-MA-IA","2023-02-26 09:48:56","35 - ISAU ROSALES MARTINEZ",si,AS79105,"SPRAY PAINT AZUL 156 400 ML.",17501476209053,12,12,1, 1E21,,no,,,no
16231,"Aerosoles AW-PW-MA-IA","2023-02-26 09:53:13","35 - ISAU ROSALES MARTINEZ",si,AI73805,"AEROSOL IUSA ROJO 400 ML.",10791279212443,6,18,3, 1E21,,no,,,no
16232,"Aerosoles AW-PW-MA-IA","2023-02-26 09:54:09","35 - ISAU ROSALES MARTINEZ",si,AI76305,"AEROSOL IUSA NARANJA FLUORESCENTE 400 ML.",10791279212504,6,48,8, 1E21,,no,,,no
16233,"Aerosoles AW-PW-MA-IA","2023-02-26 09:54:45","35 - ISAU ROSALES MARTINEZ",si,AI78805,"AEROSOL IUSA VERDE BOSQUE 400 ML.",10791279212467,6,36,6, 1E21,,no,,,no
16234,"Aerosoles AW-PW-MA-IA","2023-02-26 09:55:41","35 - ISAU ROSALES MARTINEZ",si,AI77805,"AEROSOL IUSA AMARILLO COLONIAL 400 ML.",10791279212313,6,102,17, 1E21,,no,,,no
16235,"Aerosoles AW-PW-MA-IA","2023-02-26 10:00:26","35 - ISAU ROSALES MARTINEZ",si,AG78405,"AEROSOL GIMBEL ALUMINIO 400 ML.",17501476213029,4,580,145, ALFREDO,,no,,,no
16236,"Aerosoles AW-PW-MA-IA","2023-02-26 10:01:41","35 - ISAU ROSALES MARTINEZ",si,AG77505,"AEROSOL GIMBEL CAFE 400 ML.",17501476213128,4,304,76, ALFREDO,,no,,,no
16237,"Aerosoles AW-PW-MA-IA","2023-02-26 10:03:09","35 - ISAU ROSALES MARTINEZ",si,AG78605,"AEROSOL GIMBEL ORO RICO 400 ML.",17501476213081,4,244,61, ALFREDO,,no,,,no
16238,"Aerosoles AW-PW-MA-IA","2023-02-26 10:04:15","35 - ISAU ROSALES MARTINEZ",si,AG79605,"AEROSOL GIMBEL BLANCO MATE 400 ML.",17501476213074,4,372,93, ALFREDO,,no,,,no
16239,"Aerosoles AW-PW-MA-IA","2023-02-26 10:05:53","35 - ISAU ROSALES MARTINEZ",si,AG76005,"AEROSOL GIMBEL GRIS ACERO 400 ML.",17501476213159,4,216,54, ALFREDO,,no,,,no
